series_id,series_title,frequency,year,period,period_name,date_index,value,previous_value,value_diff,pct_change,month,quarter,latest,footnotes,nlp_text,publication_datetime
CES0000000001,Total Nonfarm Employment,Monthly,2023,M09,September,2023-M09,156417.0,3.7,156413.3,4227386.486486486,9,,False,,Total Nonfarm Employment for September 2023 was 156417.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M10,October,2023-M10,3.9,156417.0,-156413.1,-99.99750666487658,10,,False,,Unemployment Rate for October 2023 was 3.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M10,October,2023-M10,156576.0,3.9,156572.1,4014669.230769231,10,,False,,Total Nonfarm Employment for October 2023 was 156576.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M11,November,2023-M11,3.7,156576.0,-156572.3,-99.9976369303086,11,,False,,Unemployment Rate for November 2023 was 3.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M11,November,2023-M11,156703.0,3.7,156699.3,4235116.216216216,11,,False,,Total Nonfarm Employment for November 2023 was 156703.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M12,December,2023-M12,3.8,156703.0,-156699.2,-99.99757503047167,12,,False,,Unemployment Rate for December 2023 was 3.8.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M12,December,2023-M12,156857.0,3.8,156853.2,4127715.7894736845,12,,False,,Total Nonfarm Employment for December 2023 was 156857.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M01,January,2024-M01,3.7,156857.0,-156853.3,-99.99764116360761,1,,False,,Unemployment Rate for January 2024 was 3.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M01,January,2024-M01,157032.0,3.7,157028.3,4244008.108108107,1,,False,,Total Nonfarm Employment for January 2024 was 157032.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M02,February,2024-M02,3.9,157032.0,-157028.1,-99.99751642977228,2,,False,,Unemployment Rate for February 2024 was 3.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M02,February,2024-M02,157238.0,3.9,157234.1,4031643.58974359,2,,False,,Total Nonfarm Employment for February 2024 was 157238.,2026-07-26T19:16:15Z
